Order_ID,Order_Date,Delivery_Date,Customer_ID,Customer_Name,Gender,Age,City,State,Product_ID,Product_Name,Category,Brand,Quantity,Unit_Price,Discount,Shipping_Charge,GST,Total_Amount,Payment_Mode,Payment_Status,Delivery_Partner,Delivery_Status,Return_Reason,Customer_Rating
ORD000014,08-09-2025,14-09-2025,C483,Customer 213,Female,42,Chennai,Tamil Nadu,P022,Laptop,Electronics,Apple,3,118115,1000,72,12,395827.04,Net Banking,Paid,Delhivery,Delivered,,3
ORD000015,23-03-2025,,C376,Customer 127,Male,57,Mumbai,Maharashtra,P017,Lipstick,Beauty,Lakme,1,2430,500,137,18,2439.06,COD,Paid,XpressBees,Cancelled,,3
ORD000016,21-08-2024,,C129,Customer 17,Female,61,Chennai,Tamil Nadu,P179,Earbuds,Electronics,LG,2,135152,5000,419,18,313553.14,COD,Paid,Delhivery,Cancelled,,4
ORD000017,25-08-2025,31-08-2025,C156,Customer 19,Male,21,Bengaluru,Karnataka,P127,Cookware,Home & Kitchen,Nike,4,66685,5000,308,12,293493.76,Google Pay,Paid,Blue Dart,Delivered,,5
ORD000018,15-12-2025,,C483,Customer 22,Male,61,Hyderabad,Telangana,P088,Yoga Mat,Sports,Boat,2,121852,5000,230,12,267606.08,Wallet,Paid,Ecom Express,In Transit,,3
ORD000019,15-04-2025,19-04-2025,C404,Customer 463,Male,51,Delhi,Delhi,P083,Earbuds,Electronics,Lakme,1,36109,500,488,5,37901.85,Net Banking,Pending,XpressBees,Returned,Size Issue,
ORD000020,12-03-2025,,C349,Customer 317,Female,45,Chennai,Tamil Nadu,P040,Football,Sports,Lakme,3,41726,1000,342,18,146933.6,Net Banking,Paid,Delhivery,Cancelled,,3
ORD000021,31-08-2024,01-09-2024,C462,Customer 104,Female,25,pune,Maharashtra,P128,Sugar,Grocery,Nike,5,12562,1000,276,12,69536.32,COD,,Ecom Express,Returned,Damaged,3
ORD000022,18-10-2025,,C247,Customer 24,Male,31,Hyderabad,Telangana,P188,Cookware,Home & Kitchen,LG,3,18926,5000,207,18,61342.3,COD,,XpressBees,Cancelled,,4
ORD000023,16-03-2025,,C453,Customer 47,Female,33,pune,Maharashtra,P194,Football,Sports,Puma,5,27579,0,343,5,145149.9,COD,,Ecom Express,In Transit,,5
ORD000024,23-01-2025,25-01-2025,C333,Customer 233,Female,53,Mumbai,Maharashtra,P166,Football,Sports,Boat,1,136350,0,195,12,152930.4,UPI,Paid,XpressBees,Delivered,,4
ORD000025,01-08-2025,02-08-2025,C199,Customer 130,Female,48,Hyderabad,Telangana,P134,Phone,Electronics,LG,4,116464,5000,348,18,544220.72,Net Banking,Pending,xpressbees,Delivered,,5
ORD000026,04-07-2024,06-07-2024,C093,Customer 396,Male,47,Chennai,Tamil Nadu,P187,Phone,Electronics,Samsung,2,57762,500,131,18,135882.9,Card,Pending,Blue Dart,Returned,Size Issue,4
ORD000027,16-11-2025,,C202,Customer 223,Female,36,Bengaluru,Karnataka,P098,Shoes,Fashion,Puma,1,2900,1000,355,5,2367.75,Wallet,,XpressBees,In Transit,,3
ORD000028,20-02-2024,,C393,Customer 107,Male,66,Pune,Maharashtra,P119,Face Wash,Beauty,Boat,3,81558,500,99,18,288242.14,COD,,Ecom Express,In Transit,,3
ORD000029,01-03-2025,,C323,Customer 300,Female,61,Mumbai,Maharashtra,P108,Laptop,Electronics,Puma,5,147385,5000,441,18,864191.88,UPI,Paid,xpressbees,Cancelled,,3
ORD000030,17-09-2024,23-09-2024,C082,Customer 14,Female,55,Bengaluru,Karnataka,P026,Shoes,Fashion,LG,4,129708,500,211,18,611880.74,COD,Pending,XpressBees,Delivered,,4
ORD000031,29-01-2025,31-01-2025,C230,Customer 488,Female,23,Bengaluru,Karnataka,P153,Shoes,Fashion,Samsung,3,45367,1000,164,12,151496.8,Card,,Blue Dart,Delivered,,4
ORD000032,29-09-2025,,C139,Customer 401,Male,70,Hyderabad,Telangana,P055,Laptop,Electronics,Samsung,5,85290,5000,17,18,497331.06,COD,Paid,Ecom Express,Cancelled,,
ORD000033,22-12-2024,28-12-2024,C429,Customer 170,Male,30,Bengaluru,Karnataka,P187,Shoes,Fashion,Puma,3,69932,1000,167,5,219411.15,COD,Pending,XpressBees,Returned,Size Issue,4
ORD000034,21-03-2025,,C149,Customer 299,Male,59,Mumbai,Maharashtra,P068,Shampoo,Beauty,Puma,2,72697,500,115,5,152259.45,Net Banking,Pending,Ecom Express,Cancelled,,4
ORD000035,10-12-2025,,C441,Customer 231,Female,20,Hyderabad,Telangana,P092,Shoes,Fashion,LG,1,128936,0,371,12,144823.84,Card,Pending,XpressBees,Cancelled,,4
ORD000036,11-01-2024,,C222,Customer 24,Male,58,Delhi,Delhi,P180,Jeans,Fashion,Lakme,4,66141,500,135,18,311754.82,Card,,Blue Dart,In Transit,,3
ORD000037,16-05-2024,,C124,Customer 380,Male,59,Bengaluru,Karnataka,P150,T-Shirt,Fashion,LG,5,101202,500,422,12,566643.84,Card,,XpressBees,Cancelled,,4
ORD000038,02-05-2024,07-05-2024,C142,Customer 289,Male,35,pune,Maharashtra,P009,Oil,Grocery,Lakme,4,110269,1000,158,18,519476.12,COD,,Delhivery,Returned,Size Issue,4
ORD000039,05-10-2025,10-10-2025,C179,Customer 270,Male,26,pune,Maharashtra,P147,Cookware,Home & Kitchen,Apple,1,40210,0,344,18,47853.72,COD,,Delhivery,Returned,Wrong Product,5
ORD000040,11-07-2024,,C020,Customer 71,Male,60,Delhi,Delhi,P031,Shampoo,Beauty,Boat,2,28699,5000,245,18,62118.74,Net Banking,Pending,Ecom Express,In Transit,,3
ORD000041,06-05-2025,12-05-2025,C433,Customer 40,Male,29,pune,Maharashtra,P197,Cookware,Home & Kitchen,Apple,1,95010,0,14,12,106426.88,Net Banking,Pending,Blue Dart,Returned,Wrong Product,3
ORD000042,17-11-2025,18-11-2025,C116,Customer 53,Female,40,Chennai,Tamil Nadu,P102,Face Wash,Beauty,Boat,1,46209,0,386,18,54982.1,Net Banking,Paid,Delhivery,Returned,Size Issue,4
ORD000043,24-05-2025,28-05-2025,C315,Customer 468,Female,64,Bengaluru,Karnataka,P188,Cricket Bat,Sports,Samsung,1,21902,5000,97,5,17848.95,Wallet,,xpressbees,Returned,Wrong Product,4
ORD000044,15-12-2025,,C003,Customer 153,Male,53,Delhi,Delhi,P064,Lipstick,Beauty,Apple,2,141672,0,72,18,334430.88,Wallet,,Ecom Express,Cancelled,,5
ORD000045,05-06-2025,,C220,Customer 259,Female,43,Delhi,Delhi,P061,Phone,Electronics,LG,5,147895,5000,422,12,823084.64,Google Pay,Pending,Ecom Express,In Transit,,4
ORD000046,19-08-2025,21-08-2025,C049,Customer 178,Male,55,pune,Maharashtra,P192,Bottle,Home & Kitchen,Puma,1,3861,1000,93,12,3308.48,Net Banking,Pending,XpressBees,Delivered,,5
ORD000047,11-11-2024,,C467,Customer 220,Female,59,Chennai,Tamil Nadu,P089,Football,Sports,Puma,4,32042,0,385,5,134980.65,Google Pay,,xpressbees,In Transit,,5
ORD000048,17-11-2025,,C274,Customer 125,Male,43,Pune,Maharashtra,P116,Cricket Bat,Sports,LG,1,99659,500,54,12,111118.56,Net Banking,,Delhivery,In Transit,,3
ORD000049,24-10-2024,,C267,Customer 4,Male,49,Pune,Maharashtra,P143,Phone,Electronics,Boat,5,35265,500,126,5,184748.55,Wallet,Paid,Blue Dart,In Transit,,4
ORD000050,30-10-2025,03-11-2025,C460,Customer 431,Male,54,Pune,Maharashtra,P159,Yoga Mat,Sports,Apple,5,134830,1000,286,5,707107.8,UPI,Pending,xpressbees,Returned,Wrong Product,3
ORD000051,24-03-2025,,C387,Customer 220,Male,60,Chennai,Tamil Nadu,P017,Phone,Electronics,Nike,3,118728,0,45,5,374040.45,Card,Pending,XpressBees,Cancelled,,5
ORD000052,26-04-2025,01-05-2025,C451,Customer 186,Female,69,Bengaluru,Karnataka,P197,Face Wash,Beauty,Boat,5,130037,5000,366,12,723017.12,Google Pay,,XpressBees,Returned,Wrong Product,3
ORD000053,12-02-2025,,C349,Customer 296,Male,63,Hyderabad,Telangana,P053,Lipstick,Beauty,Boat,4,141531,0,490,5,594944.7,Google Pay,Paid,Ecom Express,Cancelled,,5
ORD000054,10-03-2025,15-03-2025,C408,Customer 388,Male,20,Pune,Maharashtra,P148,Bottle,Home & Kitchen,Samsung,5,120572,500,275,5,632766.75,Card,Paid,XpressBees,Delivered,,4
ORD000055,14-05-2024,16-05-2024,C278,Customer 258,Male,63,Chennai,Tamil Nadu,P016,Oil,Grocery,Puma,4,88160,500,232,18,415798.96,Net Banking,,Delhivery,Returned,Damaged,3
ORD000056,07-10-2024,,C413,Customer 495,Female,49,Delhi,Delhi,P180,Laptop,Electronics,Lakme,4,82169,1000,87,18,386760.34,Google Pay,,Delhivery,In Transit,,5
ORD000057,21-09-2025,27-09-2025,C343,Customer 403,Female,50,Chennai,Tamil Nadu,P021,Cricket Bat,Sports,Lakme,5,28530,500,294,12,159537.28,Wallet,Paid,Blue Dart,Returned,Damaged,4
ORD000058,07-12-2024,13-12-2024,C370,Customer 42,Female,49,Delhi,Delhi,P176,Shampoo,Beauty,Apple,5,87229,500,356,12,488321.12,COD,Paid,Ecom Express,Delivered,,3
ORD000059,25-05-2025,28-05-2025,C054,Customer 433,Male,23,pune,Maharashtra,P141,Shampoo,Beauty,Samsung,4,42434,500,77,12,189630.56,Google Pay,Paid,Blue Dart,Returned,Wrong Product,4
ORD000060,20-08-2024,22-08-2024,C115,Customer 239,Male,24,pune,Maharashtra,P169,Sugar,Grocery,Apple,5,72461,5000,79,12,400270.08,Net Banking,Pending,Ecom Express,Delivered,,5
ORD000061,02-03-2025,08-03-2025,C088,Customer 412,Female,46,Mumbai,Maharashtra,P185,Cookware,Home & Kitchen,Boat,1,66659,500,71,5,69541.5,COD,Pending,Delhivery,Returned,Size Issue,4
ORD000062,03-07-2024,,C473,Customer 179,Female,46,Bengaluru,Karnataka,P178,Yoga Mat,Sports,Puma,3,138234,1000,132,12,463494.08,UPI,,Ecom Express,In Transit,,5
ORD000063,13-11-2024,,C018,Customer 449,Female,49,pune,Maharashtra,P130,Yoga Mat,Sports,Boat,2,128581,0,442,18,303972.72,Net Banking,Paid,Blue Dart,Cancelled,,5
ORD000064,30-09-2025,,C057,Customer 341,Male,44,Mumbai,Maharashtra,P055,Sugar,Grocery,Boat,4,115882,0,20,12,519173.76,Card,Paid,Delhivery,Cancelled,,5
ORD000065,17-10-2024,,C344,Customer 228,Male,19,Mumbai,Maharashtra,P071,Sugar,Grocery,Apple,2,123398,5000,330,12,271181.12,Wallet,Pending,Delhivery,In Transit,,5
ORD000066,20-09-2025,22-09-2025,C107,Customer 85,Male,28,Pune,Maharashtra,P095,Sugar,Grocery,Lakme,4,138777,5000,251,18,649423.62,COD,Pending,xpressbees,Delivered,,3
ORD000067,03-04-2025,,C428,Customer 252,Male,54,Pune,Maharashtra,P190,Earbuds,Electronics,Apple,5,92792,5000,250,5,482170.5,Google Pay,,XpressBees,In Transit,,
ORD000068,16-11-2025,,C464,Customer 174,Female,22,Chennai,Tamil Nadu,P042,T-Shirt,Fashion,Boat,2,143927,5000,173,18,333971.86,Card,Pending,XpressBees,In Transit,,3
ORD000069,19-01-2025,25-01-2025,C367,Customer 273,Female,67,pune,Maharashtra,P019,Jeans,Fashion,Lakme,4,46309,5000,423,18,213177.62,Wallet,Pending,xpressbees,Delivered,,3
ORD000070,12-08-2024,,C415,Customer 281,Female,54,Bengaluru,Karnataka,P085,Laptop,Electronics,Samsung,4,31846,500,294,18,150070.04,UPI,,Blue Dart,Cancelled,,5
ORD000071,06-03-2025,,C287,Customer 470,Female,70,Bengaluru,Karnataka,P117,Shampoo,Beauty,Nike,2,118391,500,34,12,264673.92,Net Banking,Pending,XpressBees,In Transit,,5
ORD000072,17-08-2024,24-08-2024,C135,Customer 294,Male,36,Delhi,Delhi,P181,Sugar,Grocery,Nike,3,121691,500,460,18,430738.94,Net Banking,,xpressbees,Delivered,,4
ORD000073,07-11-2025,,C397,Customer 489,Female,57,Bengaluru,Karnataka,P200,Oil,Grocery,Puma,3,86270,5000,183,5,266692.65,Google Pay,,Delhivery,In Transit,,4
ORD000074,04-02-2024,10-02-2024,C232,Customer 421,Male,41,Chennai,Tamil Nadu,P020,Rice,Grocery,Lakme,5,16659,500,92,5,87031.35,Card,,Ecom Express,Delivered,,3
ORD000075,20-07-2025,,C401,Customer 11,Male,70,Bengaluru,Karnataka,P028,T-Shirt,Fashion,Boat,5,149523,1000,119,12,836342.08,UPI,Pending,xpressbees,In Transit,,
ORD000076,12-04-2024,17-04-2024,C269,Customer 94,Female,54,Bengaluru,Karnataka,P047,Sugar,Grocery,Puma,3,21210,0,483,18,75653.34,COD,,Ecom Express,Delivered,,5
ORD000077,22-01-2024,,C068,Customer 287,Female,28,Hyderabad,Telangana,P028,Lipstick,Beauty,Samsung,4,48515,500,455,12,217296.8,Google Pay,Pending,Ecom Express,Cancelled,,4
ORD000078,03-07-2024,06-07-2024,C034,Customer 311,Male,53,pune,Maharashtra,P184,Shampoo,Beauty,Boat,5,134052,5000,106,5,698634.3,UPI,,xpressbees,Returned,Damaged,5
ORD000079,18-09-2025,,C197,Customer 483,Male,38,Chennai,Tamil Nadu,P138,Shampoo,Beauty,Puma,1,105005,1000,222,5,109438.35,COD,Pending,Ecom Express,Cancelled,,4
ORD000080,16-02-2024,,C380,Customer 141,Female,30,Hyderabad,Telangana,P149,Cookware,Home & Kitchen,Puma,3,128203,5000,40,12,425206.88,UPI,,xpressbees,In Transit,,4
ORD000081,06-09-2025,12-09-2025,C396,Customer 251,Female,69,Chennai,Tamil Nadu,P159,Cricket Bat,Sports,Nike,1,139169,0,462,18,164764.58,UPI,Pending,Blue Dart,Delivered,,5
ORD000082,21-11-2024,28-11-2024,C239,Customer 220,Female,40,Mumbai,Maharashtra,P137,Phone,Electronics,Puma,2,59820,500,368,18,141019.44,Card,Pending,Ecom Express,Delivered,,5
ORD000083,22-01-2024,27-01-2024,C236,Customer 340,Male,63,Bengaluru,Karnataka,P071,T-Shirt,Fashion,Boat,1,126475,0,30,18,149275.9,UPI,Paid,Ecom Express,Returned,Damaged,4
ORD000084,14-03-2025,,C410,Customer 138,Female,57,Pune,Maharashtra,P144,Phone,Electronics,LG,4,45147,5000,454,18,207729.56,Net Banking,Pending,Delhivery,In Transit,,4
ORD000085,19-04-2025,,C406,Customer 122,Female,64,Delhi,Delhi,P134,Bottle,Home & Kitchen,Nike,2,54873,5000,327,5,110326.65,Google Pay,Paid,Delhivery,In Transit,,3
ORD000086,10-01-2024,,C455,Customer 323,Male,39,Chennai,Tamil Nadu,P007,Rice,Grocery,LG,1,42387,0,1,18,50017.84,UPI,Pending,xpressbees,In Transit,,5
ORD000087,26-04-2025,,C076,Customer 495,Male,24,Chennai,Tamil Nadu,P106,Jeans,Fashion,Boat,5,65817,0,352,12,368969.44,Wallet,Paid,xpressbees,Cancelled,,3
ORD000088,27-02-2024,,C120,Customer 366,Male,26,Chennai,Tamil Nadu,P159,Phone,Electronics,Apple,3,43392,1000,80,18,152522.08,Net Banking,Paid,Delhivery,In Transit,,5
ORD000089,12-10-2024,,C491,Customer 126,Male,57,Hyderabad,Telangana,P105,T-Shirt,Fashion,Nike,5,147312,5000,41,18,863289.18,Net Banking,Paid,XpressBees,Cancelled,,3
ORD000090,21-09-2025,23-09-2025,C116,Customer 15,Male,21,Bengaluru,Karnataka,P068,Shoes,Fashion,Puma,5,18996,500,189,18,111709.42,Net Banking,,Blue Dart,Returned,Damaged,5
ORD000091,18-07-2025,,C457,Customer 51,Male,28,Delhi,Delhi,P140,Mixer,Home & Kitchen,LG,1,19582,1000,212,18,22176.92,Google Pay,,Ecom Express,Cancelled,,3
ORD000092,03-07-2024,,C357,Customer 275,Male,45,Mumbai,Maharashtra,P151,Sugar,Grocery,LG,1,22792,1000,397,18,26183.02,Net Banking,Pending,Ecom Express,Cancelled,,3
ORD000093,16-02-2024,,C070,Customer 237,Female,65,pune,Maharashtra,P176,Cookware,Home & Kitchen,Nike,5,74318,1000,303,5,389437.65,Google Pay,,xpressbees,Cancelled,,5
ORD000094,25-02-2025,,C261,Customer 192,Male,18,Mumbai,Maharashtra,P015,Mixer,Home & Kitchen,Lakme,2,18903,500,33,18,44060.02,COD,,XpressBees,Cancelled,,3
ORD000095,27-04-2024,,C194,Customer 341,Female,66,Bengaluru,Karnataka,P030,Earbuds,Electronics,Samsung,2,76044,1000,124,12,169357.44,UPI,,Blue Dart,Cancelled,,3
ORD000096,11-10-2024,13-10-2024,C260,Customer 207,Male,18,Pune,Maharashtra,P200,Laptop,Electronics,Nike,5,128734,500,62,12,720419.84,Net Banking,Paid,Delhivery,Delivered,,5
ORD000097,24-11-2025,,C170,Customer 491,Male,69,Delhi,Delhi,P156,Cricket Bat,Sports,Puma,5,74666,1000,304,12,417350.08,Card,Paid,Delhivery,Cancelled,,4
ORD000098,21-08-2024,23-08-2024,C248,Customer 453,Male,40,Bengaluru,Karnataka,P137,Laptop,Electronics,Nike,3,27094,5000,298,18,90364.4,UPI,Pending,Blue Dart,Returned,Wrong Product,5
ORD000099,18-09-2024,23-09-2024,C335,Customer 11,Male,25,Mumbai,Maharashtra,P128,Face Wash,Beauty,Samsung,1,124633,1000,420,5,130255.65,Google Pay,Paid,Delhivery,Returned,Size Issue,4
ORD000100,05-05-2025,,C431,Customer 467,Male,56,Bengaluru,Karnataka,P057,Jeans,Fashion,Boat,3,67011,0,17,5,211102.5,Google Pay,Paid,Delhivery,Cancelled,,3
ORD000101,11-02-2024,,C386,Customer 63,Female,31,Hyderabad,Telangana,P061,Football,Sports,LG,5,148804,1000,168,12,832370.56,UPI,Pending,xpressbees,Cancelled,,4
ORD000102,05-01-2024,10-01-2024,C211,Customer 447,Male,65,Mumbai,Maharashtra,P164,Laptop,Electronics,Boat,3,88099,1000,164,5,276634.05,Google Pay,Pending,Blue Dart,Returned,Size Issue,4
ORD000103,21-09-2024,24-09-2024,C386,Customer 376,Male,30,Mumbai,Maharashtra,P073,Shampoo,Beauty,Apple,2,36160,0,377,18,85782.46,Card,,xpressbees,Returned,Damaged,4
ORD000104,29-04-2025,03-05-2025,C389,Customer 18,Female,34,Delhi,Delhi,P082,Oil,Grocery,Boat,4,44702,0,421,18,211490.22,COD,Pending,Blue Dart,Returned,Size Issue,5
ORD000105,17-12-2025,22-12-2025,C414,Customer 389,Male,30,Delhi,Delhi,P195,Sugar,Grocery,Apple,4,40181,1000,58,12,178955.84,Wallet,Pending,Ecom Express,Delivered,,5
ORD000106,19-04-2024,21-04-2024,C405,Customer 424,Male,38,Pune,Maharashtra,P010,Face Wash,Beauty,Boat,3,144838,500,313,18,512505.86,Google Pay,Paid,Ecom Express,Delivered,,3
ORD000107,15-05-2025,,C020,Customer 204,Male,40,Pune,Maharashtra,P038,Jeans,Fashion,Samsung,5,125128,1000,483,12,700137.76,Google Pay,,XpressBees,In Transit,,4
ORD000108,12-08-2024,,C398,Customer 298,Male,28,pune,Maharashtra,P129,Cricket Bat,Sports,Lakme,4,122391,1000,311,12,547540,COD,Pending,Delhivery,In Transit,,5
ORD000109,15-11-2024,21-11-2024,C365,Customer 403,Female,18,Delhi,Delhi,P007,Jeans,Fashion,Samsung,5,118049,500,311,18,696266.08,Google Pay,,Ecom Express,Delivered,,5
ORD000110,02-08-2024,,C293,Customer 463,Female,39,Mumbai,Maharashtra,P124,Shampoo,Beauty,Boat,2,123703,1000,199,18,290993.9,UPI,Pending,XpressBees,In Transit,,4
ORD000111,30-06-2025,,C061,Customer 126,Male,55,Chennai,Tamil Nadu,P124,Face Wash,Beauty,Apple,3,137545,1000,262,5,432491.85,UPI,Pending,Ecom Express,Cancelled,,3
ORD000112,11-02-2025,,C320,Customer 364,Female,36,Hyderabad,Telangana,P136,Laptop,Electronics,Boat,4,27663,5000,231,5,111177.15,Net Banking,,XpressBees,Cancelled,,4
ORD000113,23-04-2024,29-04-2024,C175,Customer 211,Female,45,Mumbai,Maharashtra,P171,T-Shirt,Fashion,Boat,5,54703,500,421,18,322654.48,Google Pay,Paid,xpressbees,Returned,Damaged,
ORD000114,26-10-2025,28-10-2025,C341,Customer 57,Female,50,Chennai,Tamil Nadu,P123,Shampoo,Beauty,Puma,4,49779,0,399,5,209490.75,COD,Pending,Blue Dart,Returned,Wrong Product,4
ORD000115,06-08-2025,,C122,Customer 119,Female,56,Bengaluru,Karnataka,P105,Cookware,Home & Kitchen,Puma,1,42689,0,179,18,50584.24,COD,Paid,xpressbees,In Transit,,3
ORD000116,17-03-2024,,C409,Customer 269,Female,43,Pune,Maharashtra,P089,Shoes,Fashion,Nike,1,55430,0,288,12,62404.16,Net Banking,,Delhivery,In Transit,,3
ORD000117,27-03-2024,,C290,Customer 305,Female,55,Hyderabad,Telangana,P075,Jeans,Fashion,Samsung,5,12566,0,294,18,74486.32,Google Pay,,xpressbees,In Transit,,4
ORD000118,14-02-2025,20-02-2025,C353,Customer 81,Female,40,Hyderabad,Telangana,P091,Face Wash,Beauty,Boat,1,122908,0,448,5,129523.8,Wallet,Pending,Delhivery,Delivered,,5
ORD000119,05-05-2024,,C019,Customer 166,Male,43,Hyderabad,Telangana,P118,Lipstick,Beauty,Apple,3,43730,5000,476,5,132999.3,COD,Pending,Delhivery,Cancelled,,3
ORD000120,17-02-2024,18-02-2024,C135,Customer 213,Female,21,Mumbai,Maharashtra,P120,Earbuds,Electronics,LG,3,22372,0,422,18,79694.84,Wallet,,XpressBees,Returned,Wrong Product,
ORD000121,15-11-2025,22-11-2025,C156,Customer 354,Female,30,Mumbai,Maharashtra,P127,Lipstick,Beauty,Boat,3,19247,5000,324,5,55718.25,UPI,Pending,xpressbees,Returned,Damaged,5
ORD000122,03-06-2025,06-06-2025,C184,Customer 369,Female,35,Bengaluru,Karnataka,P010,Rice,Grocery,Lakme,1,18486,5000,133,5,14299.95,UPI,Paid,Blue Dart,Returned,Wrong Product,
ORD000123,06-04-2025,,C343,Customer 211,Male,41,pune,Maharashtra,P144,Earbuds,Electronics,Nike,5,138017,5000,323,12,767656.96,Card,Pending,xpressbees,In Transit,,4
ORD000124,21-04-2024,24-04-2024,C064,Customer 437,Female,40,Hyderabad,Telangana,P055,Sugar,Grocery,Nike,1,34387,5000,289,5,31159.8,Net Banking,Pending,xpressbees,Returned,Wrong Product,4
ORD000125,23-10-2024,24-10-2024,C193,Customer 353,Male,66,pune,Maharashtra,P148,Face Wash,Beauty,Samsung,5,57420,0,494,5,301973.7,Card,,Ecom Express,Delivered,,4
ORD000126,20-06-2025,,C212,Customer 79,Female,46,Delhi,Delhi,P002,Sugar,Grocery,Apple,3,87917,500,500,5,276938.55,Wallet,Pending,Delhivery,Cancelled,,4
ORD000127,16-05-2024,17-05-2024,C126,Customer 263,Female,23,Delhi,Delhi,P119,Cricket Bat,Sports,Samsung,1,15582,5000,33,18,12525.7,COD,Paid,XpressBees,Returned,Wrong Product,5
ORD000128,01-01-2024,06-01-2024,C026,Customer 183,Male,35,pune,Maharashtra,P170,Jeans,Fashion,Apple,3,86723,1000,89,18,305924.44,COD,Pending,Delhivery,Delivered,,4
ORD000129,02-06-2025,,C185,Customer 349,Female,32,pune,Maharashtra,P104,Shoes,Fashion,LG,4,71782,1000,382,18,338081.8,COD,Pending,XpressBees,Cancelled,,5
ORD000130,23-06-2024,,C472,Customer 434,Male,51,Delhi,Delhi,P185,Jeans,Fashion,Puma,5,95286,1000,221,12,532729.12,UPI,,Ecom Express,Cancelled,,
ORD000131,22-06-2024,25-06-2024,C337,Customer 259,Male,44,Hyderabad,Telangana,P104,Earbuds,Electronics,Puma,1,41409,1000,439,5,42890.4,Card,,Blue Dart,Delivered,,5
ORD000132,01-02-2024,04-02-2024,C050,Customer 48,Male,20,Delhi,Delhi,P142,Jeans,Fashion,LG,5,53473,1000,191,18,314536.08,Net Banking,Pending,Ecom Express,Returned,Wrong Product,5
ORD000133,16-08-2024,18-08-2024,C270,Customer 227,Male,23,Delhi,Delhi,P053,Cricket Bat,Sports,Lakme,1,24121,1000,466,12,26417.44,Wallet,Paid,Blue Dart,Delivered,,5
ORD000134,21-09-2024,25-09-2024,C250,Customer 80,Female,61,Chennai,Tamil Nadu,P163,Sugar,Grocery,Puma,2,54371,5000,445,12,116689.44,Wallet,,Blue Dart,Delivered,,4
ORD000135,01-07-2025,03-07-2025,C069,Customer 37,Male,56,Bengaluru,Karnataka,P056,Cricket Bat,Sports,Apple,1,48024,0,213,18,56919.66,Net Banking,Paid,Ecom Express,Returned,Size Issue,4
ORD000136,10-12-2025,,C390,Customer 54,Female,61,Hyderabad,Telangana,P100,Laptop,Electronics,LG,2,105431,0,322,5,221743.2,Wallet,Pending,xpressbees,Cancelled,,4
